index,Longitude,Latitude,Crime_type,Location
0,-87.67344871,41.80752727,HOMICIDE,"[41.80752727, -87.67344871]"
1,-87.67382751,42.01264977,HOMICIDE,"[42.01264977, -87.67382751]"
2,-87.64092074,41.92972657,HOMICIDE,"[41.92972657, -87.64092074]"
3,-87.70614999,41.97256537,HOMICIDE,"[41.97256537, -87.70614999]"
4,-87.77311239,41.77783091,HOMICIDE,"[41.77783091, -87.77311239]"
5,-87.6579085,41.96608155,HOMICIDE,"[41.96608155, -87.6579085]"
6,-87.7108242,41.69800198,HOMICIDE,"[41.69800198, -87.7108242]"
7,-87.76119564,41.97518547,HOMICIDE,"[41.97518547, -87.76119564]"
8,-87.80572224,41.93076129,HOMICIDE,"[41.93076129, -87.80572224]"
9,-87.6551644,41.98281871,HOMICIDE,"[41.98281871, -87.6551644]"
10,-87.52725823,41.65143133,HOMICIDE,"[41.65143133, -87.52725823]"
11,-87.68171857,41.94682308,HOMICIDE,"[41.94682308, -87.68171857]"
12,-87.83662354,41.97597841,HOMICIDE,"[41.97597841, -87.83662354]"
13,-87.74822428,41.95797427,HOMICIDE,"[41.95797427, -87.74822428]"
14,-87.5592994,41.65306216,HOMICIDE,"[41.65306216, -87.5592994]"
15,-87.79406942,41.77380925,HOMICIDE,"[41.77380925, -87.79406942]"
16,-87.79665486,41.97253017,HOMICIDE,"[41.97253017, -87.79665486]"
17,-87.68146105,41.83305635,ARSON,"[41.83305635, -87.68146105]"
18,-87.53770167,41.6965688,ARSON,"[41.6965688, -87.53770167]"
19,-87.68210301,41.72218499,ARSON,"[41.72218499, -87.68210301]"
20,-87.60233216,41.65685118,ARSON,"[41.65685118, -87.60233216]"
21,-87.82273723,41.97685876,ARSON,"[41.97685876, -87.82273723]"
22,-87.8464671,41.97760948,ARSON,"[41.97760948, -87.8464671]"
23,-87.60820349,41.81857481,ARSON,"[41.81857481, -87.60820349]"
24,-87.54715888,41.65091053,ARSON,"[41.65091053, -87.54715888]"
25,-87.817494,41.99995796,ARSON,"[41.99995796, -87.817494]"
26,-87.69824352,42.01845145,ARSON,"[42.01845145, -87.69824352]"
27,-87.74833568,41.99401997,ARSON,"[41.99401997, -87.74833568]"
28,-87.74152854,41.75459296,ARSON,"[41.75459296, -87.74152854]"
29,-87.87023635,41.9740196,ARSON,"[41.9740196, -87.87023635]"
30,-87.70794068,41.68570816,ARSON,"[41.68570816, -87.70794068]"
31,-87.57663378,41.69548154,ARSON,"[41.69548154, -87.57663378]"
32,-87.58874204,41.799545,ARSON,"[41.799545, -87.58874204]"
33,-87.69089557,41.84474794,NARCOTICS,"[41.84474794, -87.69089557]"
34,-87.54230442,41.6532154,NARCOTICS,"[41.6532154, -87.54230442]"
35,-87.903496,41.97779052,NARCOTICS,"[41.97779052, -87.903496]"
36,-87.9074726,41.95390047,NARCOTICS,"[41.95390047, -87.9074726]"
37,-87.92736489,42.00607411,NARCOTICS,"[42.00607411, -87.92736489]"
38,-87.66387908,41.86210201,THEFT,"[41.86210201, -87.66387908]"
39,-87.903496,41.97779052,THEFT,"[41.97779052, -87.903496]"
40,-87.93427269,42.00816197,THEFT,"[42.00816197, -87.93427269]"
41,-87.66803685,41.83391243,BATTERY,"[41.83391243, -87.66803685]"
42,-87.90052009,41.97679965,BATTERY,"[41.97679965, -87.90052009]"
43,-91.68656568,36.6194464,BATTERY,"[36.6194464, -91.68656568]"
44,-87.91510545,41.95378308,BATTERY,"[41.95378308, -87.91510545]"
45,-87.66577898,41.83896798,ROBBERY,"[41.83896798, -87.66577898]"
46,-87.78673839,42.0114812,ROBBERY,"[42.0114812, -87.78673839]"
47,-87.90389884,41.98078321,ROBBERY,"[41.98078321, -87.90389884]"
48,-87.91403057,41.96352938,ROBBERY,"[41.96352938, -87.91403057]"
49,-87.66709266,41.83048485,ASSAULT,"[41.83048485, -87.66709266]"
50,-87.90178291,41.9771392,ASSAULT,"[41.9771392, -87.90178291]"
51,-87.92736489,42.00607411,ASSAULT,"[42.00607411, -87.92736489]"
52,-87.89900883,42.00544069,ASSAULT,"[42.00544069, -87.89900883]"
53,-87.67873166,41.84739607,MOTOR VEHICLE THEFT,"[41.84739607, -87.67873166]"
54,-87.91486972,41.99430053,MOTOR VEHICLE THEFT,"[41.99430053, -87.91486972]"
